message_id,action,message_type,reason,confidence,evidence_message_ids
msg_067,digest,personal,The group message is safe but does not require immediate notification.,0.8,message_0029;message_0129
msg_039,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.87,message_0209;message_0133
msg_082,notify,urgent,A close work contact sent an urgent system status alert that needs immediate attention.,0.88,message_0218;message_0380
msg_066,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0258;message_0187
msg_049,notify,business_update,A verified travel or ride service is sending a time-sensitive update.,0.9,message_0153;message_0291
msg_015,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.85,message_0213;message_0199
msg_051,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0258;message_0187
msg_097,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.8,message_0359;message_0168
msg_089,digest,personal,Personal message with standard priority.,0.8,none
msg_053,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0253;message_0161
msg_059,digest,personal,The group message is safe but does not require immediate notification.,0.8,message_0213;message_0196
msg_024,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0258;message_0187
msg_072,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.85,message_0213;message_0199
msg_036,mute,spam,The user has opted out of or repeatedly dismissed similar marketing messages.,0.88,message_0127;message_0128
msg_076,mute,spam,The user has opted out of or repeatedly dismissed similar marketing messages.,0.88,message_0159;message_0207
msg_055,notify,personal,The sender directly asks this user for a response or action.,0.87,message_0166;message_0387
msg_102,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.85,message_0003;message_0060
msg_080,digest,personal,The group message is safe but does not require immediate notification.,0.8,message_0029;message_0129
msg_093,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.85,none
msg_034,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0123;message_0241
msg_035,digest,business_update,A business account message with standard priority.,0.8,message_0125;message_0126
msg_101,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.85,message_0268;message_0370
msg_041,digest,business_update,A business account message with standard priority.,0.8,message_0138;message_0137
msg_011,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0123;message_0241
msg_110,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.85,message_0321;message_0238
msg_095,digest,personal,Personal message with standard priority.,0.8,message_0202;message_0184
msg_074,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0220;message_0223
msg_073,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0202;message_0184
msg_054,digest,personal,The group message is safe but does not require immediate notification.,0.8,message_0223;message_0164
msg_068,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0191;message_0192
msg_100,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.85,message_0118;message_0055
msg_062,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0029;message_0129
msg_096,digest,personal,Personal message with standard priority.,0.8,none
msg_043,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0029;message_0129
msg_077,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.87,message_0209;message_0133
msg_081,notify,event,A school transport update requires immediate operational awareness.,0.87,message_0217
msg_025,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.91,message_0105;message_0106
msg_084,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0220;message_0164
msg_022,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0099;message_0100
